request_id,amount_safe_to_pay,affordability_status,recommended_payment_method,payment_plan,earliest_date_for_full_payment,spending_changes_needed,decision_explanation
request_26,15656000,affordable_now,full_payment,2025-08-03:15656000,2025-08-03,none,"Pay IDR 15,656,000 today. This leaves at least IDR 24,768,300 available over the next 90 days."
request_27,6670,affordable_now,full_payment,2026-07-05:6670,2026-07-05,none,"Pay ZAR 6,670 today. This leaves at least ZAR 20,500 available over the next 90 days."
request_28,0,not_affordable,not_recommended,none,,none,"Do not proceed with this request. None of the available options keeps the EUR 1,100 minimum protected within 90 days."
request_29,51524,affordable_now,full_payment,2025-11-04:51524,2025-11-04,none,"Pay ZAR 51,524 today. This leaves at least ZAR 28,300 available over the next 90 days."
request_30,775.2,affordable_with_plan,installments,2026-04-06:268.74|2026-05-06:268.74|2026-06-05:268.74,2026-04-06,none,Use installments to spread USD 775. This keeps at least USD 900 available over the next 90 days.
request_31,0,not_affordable,not_recommended,none,,none,"Do not proceed with this request. None of the available options keeps the IDR 16,588,900 minimum protected within 90 days."
request_32,23198.99,affordable_later,wait,2025-02-14:40018,2025-02-14,none,"Pay ZAR 40,018 in full on 2025-02-14. Paying earlier would take the balance below the ZAR 35,700 minimum."
request_33,61189.99,affordable_later,wait,2026-01-14:118000,2026-01-14,none,"Pay INR 118,000 in full on 2026-01-14. Paying earlier would take the balance below the INR 102,100 minimum."
request_34,129400,affordable_now,full_payment,2024-12-04:129400,2024-12-04,none,"Pay INR 129,400 today. This leaves at least INR 138,500 available over the next 90 days."
request_35,68249.99,affordable_later,wait,2025-12-14:212000,2025-12-14,none,"Pay INR 212,000 in full on 2025-12-14. Paying earlier would take the balance below the INR 106,400 minimum."
request_36,1280.59,affordable_later,wait,2026-08-14:3954,2026-08-14,none,"Pay USD 3,954 in full on 2026-08-14. Paying earlier would take the balance below the USD 2,400 minimum."
request_37,0,not_affordable,not_recommended,none,,none,"Do not proceed with this request. None of the available options keeps the IDR 17,056,200 minimum protected within 90 days."
request_38,317.39,affordable_later,wait,2025-09-13:971.3,2025-09-13,none,Pay EUR 971 in full on 2025-09-13. Paying earlier would take the balance below the EUR 400 minimum.
request_39,91015,affordable_later,wait,2026-05-15:208600,2026-05-15,none,"Pay INR 208,600 in full on 2026-05-15. Paying earlier would take the balance below the INR 213,400 minimum."
request_40,738.98,affordable_later,wait,2024-06-14:1290.3,2024-06-14,none,"Pay EUR 1,290 in full on 2024-06-14. Paying earlier would take the balance below the EUR 1,500 minimum."
request_41,8881549.98,affordable_later,wait,2026-01-14:38760000,2026-01-14,none,"Pay IDR 38,760,000 in full on 2026-01-14. Paying earlier would take the balance below the IDR 25,366,600 minimum."
request_42,0,not_affordable,not_recommended,none,,none,"Do not proceed with this request. None of the available options keeps the INR 113,100 minimum protected within 90 days."
request_43,12739499.99,affordable_later,wait,2024-10-14:43339000,2024-10-14,none,"Pay IDR 43,339,000 in full on 2024-10-14. Paying earlier would take the balance below the IDR 21,398,000 minimum."
request_44,54990,affordable_later,wait,2025-02-14:95800,2025-02-14,none,"Pay INR 95,800 in full on 2025-02-14. Paying earlier would take the balance below the INR 82,900 minimum."
request_45,7607600,affordable_later,wait,2026-08-14:21983000,2026-08-14,none,"Pay IDR 21,983,000 in full on 2026-08-14. Paying earlier would take the balance below the IDR 11,149,800 minimum."
request_46,45845,affordable_with_plan,installments,2024-12-03:25714|2024-12-31:25714,2025-01-14,reduce_to:event_4195:2015,"Use installments to spread INR 49,450. This keeps at least INR 84,000 available over the next 90 days."
request_47,38114000,affordable_now,full_payment,2025-05-05:38114000,2025-05-05,none,"Pay IDR 38,114,000 today. This leaves at least IDR 30,049,000 available over the next 90 days."
request_48,45700,affordable_now,full_payment,2026-07-25:45700,2026-07-25,none,"Pay INR 45,700 today. This leaves at least INR 71,300 available over the next 90 days."
request_49,0,not_affordable,not_recommended,none,,none,"Do not proceed with this request. None of the available options keeps the IDR 20,275,700 minimum protected within 90 days."
request_50,0,not_affordable,not_recommended,none,,none,"Do not proceed with this request. None of the available options keeps the INR 99,700 minimum protected within 90 days."
request_51,2191000,affordable_now,full_payment,2026-01-03:2191000,2026-01-03,none,"Pay IDR 2,191,000 today. This leaves at least IDR 7,811,000 available over the next 90 days."
request_52,26529.99,affordable_later,wait,2024-06-14:28870,2024-06-14,none,"Pay INR 28,870 in full on 2024-06-14. Paying earlier would take the balance below the INR 41,500 minimum."
request_53,883.41,affordable_with_plan,installments,2025-11-21:589.06|2025-12-19:589.06|2026-01-16:589.06,2025-11-14,none,"Use installments to spread USD 1,699. This keeps at least USD 2,100 available over the next 90 days."
request_54,14553,not_affordable,not_recommended,none,,none,"Do not proceed with this request. Although ZAR 14,553 is available today, the full ZAR 121,528 cannot be completed safely within 90 days while keeping ZAR 37,000."
request_55,168396.19,affordable_with_plan,installments,2026-06-11:75781.33|2026-07-12:75781.33|2026-08-12:75781.33,2026-06-14,none,"Use installments to spread INR 218,600. This keeps at least INR 124,300 available over the next 90 days."
request_56,0,not_affordable,not_recommended,none,,none,"Do not proceed with this request. None of the available options keeps the USD 2,100 minimum protected within 90 days."
request_57,19859.39,affordable_later,wait,2026-05-14:61446,2026-05-14,none,"Pay ZAR 61,446 in full on 2026-05-14. Paying earlier would take the balance below the ZAR 42,700 minimum."
