request_id,amount_safe_to_pay,affordability_status,recommended_payment_method,payment_plan,earliest_date_for_full_payment,spending_changes_needed,decision_explanation
request_26,15656000,affordable_now,full_payment,2025-08-03:15656000,2025-08-03,none,The payment is affordable now with full_payment.
request_27,6670,affordable_now,full_payment,2026-07-05:6670,2026-07-05,none,The payment is affordable now using full_payment.
request_28,0,not_affordable,not_recommended,none,,none,The payment is not affordable and not_recommended.
request_29,51524,affordable_now,full_payment,2025-11-04:51524,2025-11-04,none,The payment is affordable now with full_payment.
request_30,775.2,affordable_with_plan,installments,2026-04-06:268.74|2026-05-06:268.74|2026-06-05:268.74,2026-04-06,none,"A plan is recommended, using installments."
request_31,0,not_affordable,not_recommended,none,,none,The payment is not affordable and not_recommended.
request_32,23198.99,affordable_later,wait,2025-02-14:40018,2025-02-14,none,"Since it is affordable later, we recommend you wait until 2025-02-14."
request_33,61189.99,affordable_later,wait,2026-01-14:118000,2026-01-14,none,"Your request is affordable_later, so you should wait until 2026-01-14 to pay."
request_34,129400,affordable_now,full_payment,2024-12-04:129400,2024-12-04,none,The payment is affordable now using full_payment.
request_35,68249.99,affordable_later,wait,2025-12-14:212000,2025-12-14,none,"Your request is affordable_later, so the recommended_payment_method is wait."
request_36,1280.59,affordable_later,wait,2026-08-14:3954,2026-08-14,none,"It is affordable later, so wait until 2026-08-14."
request_37,0,not_affordable,not_recommended,none,,none,The payment is not affordable and not_recommended.
request_38,317.39,affordable_later,wait,2025-09-13:971.3,2025-09-13,none,"Since it is affordable_later, a wait is recommended until 2025-09-13."
request_39,91015,affordable_later,wait,2026-05-15:208600,2026-05-15,none,"Since it is affordable later, you should wait until 2026-05-15."
request_40,738.98,affordable_later,wait,2024-06-14:1290.3,2024-06-14,none,"Since the status is affordable_later, the recommended_payment_method is wait until 2024-06-14."
request_41,8881549.98,affordable_later,wait,2026-01-14:38760000,2026-01-14,none,You should wait until 2026-01-14 because the payment is affordable later.
request_42,0,not_affordable,not_recommended,none,,none,The payment is not affordable and not_recommended.
request_43,12739499.99,affordable_later,wait,2024-10-14:43339000,2024-10-14,none,It is recommended to wait until 2024-10-14 as the payment is affordable later.
request_44,54990,affordable_later,wait,2025-02-14:95800,2025-02-14,none,"Since it is affordable later, we recommend you wait until 2025-02-14."
request_45,7607600,affordable_later,wait,2026-08-14:21983000,2026-08-14,none,You should wait until 2026-08-14 because the payment is affordable later.
request_46,45845,affordable_with_plan,installments,2024-12-03:25714|2024-12-31:25714,2025-01-14,reduce_to:event_4195:2015,"A plan is recommended, using installments."
request_47,38114000,affordable_now,full_payment,2025-05-05:38114000,2025-05-05,none,The payment is affordable now with full_payment.
request_48,45700,affordable_now,full_payment,2026-07-25:45700,2026-07-25,none,The payment is affordable now with full_payment.
request_49,0,not_affordable,not_recommended,none,,none,The payment is not affordable and not_recommended.
request_50,0,not_affordable,not_recommended,none,,none,The payment is not affordable and not_recommended.
request_51,2191000,affordable_now,full_payment,2026-01-03:2191000,2026-01-03,none,The payment is affordable now with full_payment.
request_52,26529.99,affordable_later,wait,2024-06-14:28870,2024-06-14,none,"Since it is affordable_later, a wait is recommended—please wait until 2024-06-14."
request_53,883.41,affordable_with_plan,installments,2025-11-21:589.06|2025-12-19:589.06|2026-01-16:589.06,2025-11-14,none,"Since this is affordable_with_plan, a plan is recommended using installments."
request_54,14553,not_affordable,not_recommended,none,,none,The payment is not affordable and not_recommended.
request_55,168396.19,affordable_with_plan,installments,2026-06-11:75781.33|2026-07-12:75781.33|2026-08-12:75781.33,2026-06-14,none,"A plan is recommended, using installments."
request_56,0,not_affordable,not_recommended,none,,none,The payment is not affordable and the recommended payment method is not_recommended.
request_57,19859.39,affordable_later,wait,2026-05-14:61446,2026-05-14,none,"Since the status is affordable_later, the recommended_payment_method is wait until 2026-05-14."
request_58,1175814.99,not_affordable,not_recommended,none,,none,The payment is not affordable and not_recommended.
request_59,140600,affordable_with_plan,installments,2025-05-07:48741.33|2025-06-04:48741.33|2025-07-02:48741.33,2025-05-04,none,"A plan is recommended, using installments."
request_60,0,not_affordable,not_recommended,none,,none,The payment is not affordable and the recommended payment method is not_recommended.
request_61,29062,affordable_with_plan,installments,2024-03-17:10074.83|2024-04-17:10074.83|2024-05-18:10074.83,2024-03-03,none,"A plan is recommended, using installments."
request_62,404.23,affordable_now,full_payment,2025-08-05:404.23,2025-08-05,none,The payment is affordable now with full_payment.
request_63,24024.99,not_affordable,not_recommended,none,,none,The payment is not affordable and the recommended payment method is not_recommended.
request_64,59573,affordable_with_plan,installments,2024-06-11:22082.67|2024-07-12:22082.67|2024-08-12:22082.67,2024-06-14,none,"A plan is recommended, using installments."
request_65,0,not_affordable,not_recommended,none,,none,The payment is not affordable and not_recommended.
request_66,22200,affordable_now,full_payment,2026-04-03:22200,2026-04-03,none,The payment is affordable now with full_payment.
